M,N,K,actual_cycles,tileflow_sim_cycles,llmcompass_cycles
512,512,512,15643,12289,15806
512,512,1024,26572,24576,26758
512,512,1536,37532,36864,37710
512,512,2048,48419,49152,48662
512,1024,512,15585,12289,15806
512,1024,1024,26499,24576,26758
512,1024,1536,37558,36864,37710
512,1024,2048,48474,49152,48662
512,1536,512,15679,12289,15807
512,1536,1024,26698,24576,26759
512,1536,1536,37597,36864,37711
512,1536,2048,48595,49152,48663
512,2048,512,15770,12562,15818
512,2048,1024,26770,24849,26770
512,2048,1536,37659,37137,37722
512,2048,2048,48674,49425,48674
1024,512,512,15577,12289,15806
1024,512,1024,26546,24576,26758
1024,512,1536,37458,36864,37710
1024,512,2048,48410,49152,48662
1024,1024,512,15796,12536,15818
1024,1024,1024,26623,24823,26770
1024,1024,1536,37657,37111,37722
1024,1024,2048,48568,49399,48674
1024,1536,512,15940,13401,15926
1024,1536,1024,26703,25688,26878
1024,1536,1536,37701,37976,37830
1024,1536,2048,48627,50264,48782
1024,2048,512,15909,16359,16112
1024,2048,1024,26820,31039,27064
1024,2048,1536,37934,45719,38016
1024,2048,2048,48834,60399,48968
1536,512,512,15644,12289,15807
1536,512,1024,26602,24576,26759
1536,512,1536,37492,36864,37711
1536,512,2048,48503,49152,48663
1536,1024,512,15763,13401,15926
1536,1024,1024,26602,25688,26878
1536,1024,1536,37588,37976,37830
1536,1024,2048,48545,50264,48782
1536,1536,512,15987,18247,16328
1536,1536,1024,26874,34604,27280
1536,1536,1536,37758,50962,38232
1536,1536,2048,48717,67320,49184
1536,2048,512,16515,24118,16974
1536,2048,1024,27348,45719,27926
1536,2048,1536,38323,67319,38878
1536,2048,2048,49172,88920,49830
2048,512,512,15661,12562,15818
2048,512,1024,26562,24849,26770
2048,512,1536,37475,37137,37722
2048,512,2048,48396,49425,48674
2048,1024,512,15781,16359,16112
2048,1024,1024,26770,31039,27064
2048,1024,1536,37674,45719,38016
2048,1024,2048,48544,60399,48968
2048,1536,512,16389,24118,16974
2048,1536,1024,27449,45719,27926
2048,1536,1536,38127,67319,38878
2048,1536,2048,49311,88920,49830
2048,2048,512,16881,31878,18213
2048,2048,1024,27794,60399,29541
2048,2048,1536,38456,88920,40869
2048,2048,2048,49495,117441,52197
