M,N,K,stage,actual_cycles,sim_cycles
512,512,512,2,15643,12289
512,512,1024,2,26572,24576
512,512,1536,2,37532,36864
512,512,2048,2,48419,49152
512,1024,512,2,15585,12289
512,1024,1024,2,26499,24576
512,1024,1536,2,37558,36864
512,1024,2048,2,48474,49152
512,1536,512,2,15679,12289
512,1536,1024,2,26698,24576
512,1536,1536,2,37597,36864
512,1536,2048,2,48595,49152
512,2048,512,2,15770,12562
512,2048,1024,2,26770,24849
512,2048,1536,2,37659,37137
512,2048,2048,2,48674,49425
1024,512,512,2,15577,12289
1024,512,1024,2,26546,24576
1024,512,1536,2,37458,36864
1024,512,2048,2,48410,49152
1024,1024,512,2,15796,12536
1024,1024,1024,2,26623,24823
1024,1024,1536,2,37657,37111
1024,1024,2048,2,48568,49399
1024,1536,512,2,15940,13401
1024,1536,1024,2,26703,25688
1024,1536,1536,2,37701,37976
1024,1536,2048,2,48627,50264
1024,2048,512,2,15909,16359
1024,2048,1024,2,26820,31039
1024,2048,1536,2,37934,45719
1024,2048,2048,2,48834,60399
1536,512,512,2,15644,12289
1536,512,1024,2,26602,24576
1536,512,1536,2,37492,36864
1536,512,2048,2,48503,49152
1536,1024,512,2,15763,13401
1536,1024,1024,2,26602,25688
1536,1024,1536,2,37588,37976
1536,1024,2048,2,48545,50264
1536,1536,512,2,15987,18247
1536,1536,1024,2,26874,34604
1536,1536,1536,2,37758,50962
1536,1536,2048,2,48717,67320
1536,2048,512,2,16515,24118
1536,2048,1024,2,27348,45719
1536,2048,1536,2,38323,67319
1536,2048,2048,2,49172,88920
2048,512,512,2,15661,12562
2048,512,1024,2,26562,24849
2048,512,1536,2,37475,37137
2048,512,2048,2,48396,49425
2048,1024,512,2,15781,16359
2048,1024,1024,2,26770,31039
2048,1024,1536,2,37674,45719
2048,1024,2048,2,48544,60399
2048,1536,512,2,16389,24118
2048,1536,1024,2,27449,45719
2048,1536,1536,2,38127,67319
2048,1536,2048,2,49311,88920
2048,2048,512,2,16881,31878
2048,2048,1024,2,27794,60399
2048,2048,1536,2,38456,88920
2048,2048,2048,2,49495,117441
