M,N,K,stage,actual_cycles,sim_cycles
512,512,512,2,31735,16384
512,512,1024,2,54027,32768
512,512,1536,2,76364,49152
512,512,2048,2,98411,65536
512,1024,512,2,31851,16384
512,1024,1024,2,54124,32768
512,1024,1536,2,76328,49152
512,1024,2048,2,98456,65536
512,1536,512,2,32278,16384
512,1536,1024,2,54463,32768
512,1536,1536,2,76661,49152
512,1536,2048,2,99001,65536
512,2048,512,2,32053,16849
512,2048,1024,2,54170,33233
512,2048,1536,2,76413,49617
512,2048,2048,2,98327,66001
1024,512,512,2,31883,16384
1024,512,1024,2,54174,32768
1024,512,1536,2,76327,49152
1024,512,2048,2,98469,65536
1024,1024,512,2,32171,16812
1024,1024,1024,2,54357,33196
1024,1024,1536,2,76713,49580
1024,1024,2048,2,98765,65964
1024,1536,512,2,33901,18014
1024,1536,1024,2,56549,34398
1024,1536,1536,2,78807,50782
1024,1536,2048,2,100819,67166
1024,2048,512,2,34699,22720
1024,2048,1024,2,56708,43109
1024,2048,1536,2,79469,63498
1024,2048,2048,2,101234,83887
1536,512,512,2,32190,16384
1536,512,1024,2,54200,32768
1536,512,1536,2,76499,49152
1536,512,2048,2,98544,65536
1536,1024,512,2,35253,18014
1536,1024,1024,2,57416,34398
1536,1024,1536,2,79598,50782
1536,1024,2048,2,101793,67166
1536,1536,512,2,39082,25342
1536,1536,1024,2,59628,48061
1536,1536,1536,2,83350,70780
1536,1536,2048,2,105375,93499
1536,2048,512,2,40306,33497
1536,2048,1024,2,61740,63498
1536,2048,1536,2,84820,93499
1536,2048,2048,2,106677,123500
2048,512,512,2,32006,16849
2048,512,1024,2,54201,33233
2048,512,1536,2,76603,49617
2048,512,2048,2,98545,66001
2048,1024,512,2,35043,22720
2048,1024,1024,2,57366,43109
2048,1024,1536,2,79622,63498
2048,1024,2048,2,101610,83887
2048,1536,512,2,39173,33497
2048,1536,1024,2,61233,63498
2048,1536,1536,2,83460,93499
2048,1536,2048,2,105243,123500
2048,2048,512,2,73014,44274
2048,2048,1024,2,117329,83887
2048,2048,1536,2,163490,123500
2048,2048,2048,2,207637,163112
