M,N,K,actual_cycles,sim_cycles,mape_percent
512,512,512,11477,6144,46.466847
512,512,1024,17675,12288,30.478076
512,512,1536,23892,18432,22.852838
512,512,2048,30176,24576,18.557794
512,1024,512,12031,6144,48.931926
512,1024,1024,18229,12288,32.590927
512,1024,1536,24501,18432,24.770418
512,1024,2048,30639,24576,19.788505
512,1536,512,13741,6144,55.287097
512,1536,1024,20231,12288,39.261529
512,1536,1536,26375,18432,30.115640
512,1536,2048,32435,24576,24.229998
512,2048,512,12126,6281,48.202210
512,2048,1024,18411,12425,32.513171
512,2048,1536,24525,18569,24.285423
512,2048,2048,30663,24713,19.404494
1024,512,512,11955,6144,48.607277
1024,512,1024,18120,12288,32.185430
1024,512,1536,24370,18432,24.366024
1024,512,2048,30575,24576,19.620605
1024,1024,512,12030,6268,47.896924
1024,1024,1024,18349,12412,32.355987
1024,1024,1536,24497,18556,24.251949
1024,1024,2048,30662,24700,19.444263
1024,1536,512,14142,6700,52.623391
1024,1536,1024,20363,12844,36.924815
1024,1536,1536,26480,18988,28.293051
1024,1536,2048,32751,25132,23.263412
1024,2048,512,14057,8180,41.808352
1024,2048,1024,20241,15520,23.323946
1024,2048,1536,26505,22860,13.752122
1024,2048,2048,32752,30200,7.791891
1536,512,512,12009,6144,48.838371
1536,512,1024,18165,12288,32.353427
1536,512,1536,24351,18432,24.307010
1536,512,2048,30534,24576,19.512674
1536,1024,512,13797,6700,51.438719
1536,1024,1024,19946,12844,35.606137
1536,1024,1536,26171,18988,27.446410
1536,1024,2048,32251,25132,22.073734
1536,1536,512,27463,9124,66.777118
1536,1536,1024,39968,17303,56.707866
1536,1536,1536,52155,25482,51.141789
1536,1536,2048,64527,33661,47.834240
1536,2048,512,27260,12060,55.759354
1536,2048,1024,39699,22860,42.416686
1536,2048,1536,51985,33660,35.250553
1536,2048,2048,63872,44461,30.390468
2048,512,512,12180,6281,48.431856
2048,512,1024,18620,12425,33.270677
2048,512,1536,24493,18569,24.186502
2048,512,2048,30717,24713,19.546180
2048,1024,512,14307,8180,42.825190
2048,1024,1024,20481,15520,24.222450
2048,1024,1536,26687,22860,14.340316
2048,1024,2048,32851,30200,8.069770
2048,1536,512,28035,12060,56.982343
2048,1536,1024,40648,22860,43.761071
2048,1536,1536,52741,33660,36.178685
2048,1536,2048,65262,44461,31.873065
2048,2048,512,27812,15940,42.686610
2048,2048,1024,40259,30200,24.985717
2048,2048,1536,52583,44461,15.446057
2048,2048,2048,64905,58721,9.527771
