scenario_id,scenario_title,hardware,workload,M,N,K,actual_cycles,tiledataflow_sim_cycles,tileflow_sim_cycles,llmcompass_cycles,tiledataflow_mape_percent,tileflow_mape_percent,llmcompass_mape_percent
a100_gemm,A100 GEMM,A100,GEMM,512,512,512,31735,31884,16384,17820,0.469513,48.372459,43.847487
a100_gemm,A100 GEMM,A100,GEMM,512,512,1024,54027,54956,32768,35276,1.719511,39.348844,34.706721
a100_gemm,A100 GEMM,A100,GEMM,512,512,1536,76364,78028,49152,52732,2.179037,35.634592,30.946519
a100_gemm,A100 GEMM,A100,GEMM,512,512,2048,98411,101100,65536,70188,2.732418,33.405818,28.678705
a100_gemm,A100 GEMM,A100,GEMM,512,1024,512,31851,31893,16384,18228,0.131864,48.560485,42.771028
a100_gemm,A100 GEMM,A100,GEMM,512,1024,1024,54124,54965,32768,35684,1.553839,39.457542,34.069914
a100_gemm,A100 GEMM,A100,GEMM,512,1024,1536,76328,78037,49152,53140,2.239021,35.604234,30.379415
a100_gemm,A100 GEMM,A100,GEMM,512,1024,2048,98456,101109,65536,70596,2.694605,33.436256,28.296904
a100_gemm,A100 GEMM,A100,GEMM,512,1536,512,32278,31927,16384,18636,1.087428,49.240969,42.264081
a100_gemm,A100 GEMM,A100,GEMM,512,1536,1024,54463,54999,32768,36092,0.984154,39.834383,33.731157
a100_gemm,A100 GEMM,A100,GEMM,512,1536,1536,76661,78071,49152,53548,1.839266,35.883957,30.149620
a100_gemm,A100 GEMM,A100,GEMM,512,1536,2048,99001,101143,65536,71004,2.163615,33.802689,28.279512
a100_gemm,A100 GEMM,A100,GEMM,512,2048,512,32053,31971,16849,19044,0.255826,47.433938,40.585905
a100_gemm,A100 GEMM,A100,GEMM,512,2048,1024,54170,55043,33233,36500,1.611593,38.650545,32.619531
a100_gemm,A100 GEMM,A100,GEMM,512,2048,1536,76413,78115,49617,53956,2.227370,35.067331,29.388978
a100_gemm,A100 GEMM,A100,GEMM,512,2048,2048,98327,101187,66001,71412,2.908662,32.876016,27.372949
a100_gemm,A100 GEMM,A100,GEMM,1024,512,512,31883,31886,16384,18228,0.009409,48.612113,42.828467
a100_gemm,A100 GEMM,A100,GEMM,1024,512,1024,54174,54958,32768,35684,1.447189,39.513420,34.130764
a100_gemm,A100 GEMM,A100,GEMM,1024,512,1536,76327,78030,49152,53140,2.231189,35.603391,30.378503
a100_gemm,A100 GEMM,A100,GEMM,1024,512,2048,98469,101102,65536,70596,2.673938,33.445044,28.306371
a100_gemm,A100 GEMM,A100,GEMM,1024,1024,512,32171,31929,16812,18999,0.752230,47.741755,40.943707
a100_gemm,A100 GEMM,A100,GEMM,1024,1024,1024,54357,55001,33196,36455,1.184760,38.929669,32.934121
a100_gemm,A100 GEMM,A100,GEMM,1024,1024,1536,76713,78073,49580,53911,1.772842,35.369494,29.723776
a100_gemm,A100 GEMM,A100,GEMM,1024,1024,2048,98765,101145,65964,71367,2.409761,33.211158,27.740596
a100_gemm,A100 GEMM,A100,GEMM,1024,1536,512,33901,31993,18014,19769,5.628153,46.862924,41.686086
a100_gemm,A100 GEMM,A100,GEMM,1024,1536,1024,56549,55065,34398,37225,2.624273,39.171338,34.172134
a100_gemm,A100 GEMM,A100,GEMM,1024,1536,1536,78807,78137,50782,54681,0.850178,35.561562,30.614032
a100_gemm,A100 GEMM,A100,GEMM,1024,1536,2048,100819,101209,67166,72137,0.386832,33.379621,28.449003
a100_gemm,A100 GEMM,A100,GEMM,1024,2048,512,34699,35559,22720,20539,2.478458,34.522609,40.808092
a100_gemm,A100 GEMM,A100,GEMM,1024,2048,1024,56708,58631,43109,37995,3.391056,23.980743,32.998871
a100_gemm,A100 GEMM,A100,GEMM,1024,2048,1536,79469,81703,63498,55451,2.811159,20.097145,30.223106
a100_gemm,A100 GEMM,A100,GEMM,1024,2048,2048,101234,104775,83887,72907,3.497837,17.135547,27.981706
