scenario_id,scenario_title,batch,heads,heads_q,heads_kv,seq_q,seq_kv,seq_len,actual_cycles,tiledataflow_sim_cycles,llmcompass_cycles,tileflow_cycles,tileflow_variant
fa2,FA2,1,,8,8,512,512,,21052,23960,11310,10242,fused
fa2,FA2,1,,8,8,1024,1024,,34771,36292,45246,40962,fused
fa2,FA2,1,,8,8,1536,1536,,49766,49010,101806,92162,fused
fa2,FA2,1,,8,8,2048,2048,,62300,61843,180990,163844,fused
fa2,FA2,1,,16,16,512,512,,22492,24443,22622,20482,fused
fa2,FA2,1,,16,16,1024,1024,,36993,37798,90494,81922,fused
fa2,FA2,1,,16,16,1536,1536,,94291,101017,203612,184322,fused
fa2,FA2,1,,16,16,2048,2048,,119198,126529,361981,327684,fused
fa2,FA2,1,,32,32,512,512,,24363,26117,45246,40962,fused
fa2,FA2,1,,32,32,1024,1024,,71635,78557,180990,163842,fused
fa2,FA2,1,,32,32,1536,1536,,142767,154629,407227,368642,fused
fa2,FA2,1,,32,32,2048,2048,,234830,254169,723962,655364,fused
flashdecoding,FlashDecoding,1,,32,8,128,1024,,34910,35976,25078,20482,fused
flashdecoding,FlashDecoding,1,,32,8,128,2048,,58043,60072,49544,40966,fused
flashdecoding,FlashDecoding,1,,32,8,128,4096,,104306,108264,98478,81922,fused
flashdecoding,FlashDecoding,1,,32,8,128,8192,,197560,204648,196344,163842,fused
flashdecoding,FlashDecoding,2,,32,8,128,1024,,35306,36459,50156,40962,fused
flashdecoding,FlashDecoding,2,,32,8,128,2048,,60605,60555,99090,81924,fused
flashdecoding,FlashDecoding,2,,32,8,128,4096,,111279,108747,196956,163842,fused
flashdecoding,FlashDecoding,2,,32,8,128,8192,,214296,205131,392691,327682,fused
flashdecoding,FlashDecoding,4,,32,8,128,1024,,37504,38133,100312,81922,fused
flashdecoding,FlashDecoding,4,,32,8,128,2048,,62495,62229,198180,163844,fused
flashdecoding,FlashDecoding,4,,32,8,128,4096,,115240,110421,393915,327682,fused
flashdecoding,FlashDecoding,4,,32,8,128,8192,,206534,206805,785382,655362,fused
flashdecoding,FlashDecoding,8,,32,8,128,1024,,77748,78897,200626,163842,fused
flashdecoding,FlashDecoding,8,,32,8,128,2048,,125540,127089,396361,327684,fused
flashdecoding,FlashDecoding,8,,32,8,128,4096,,216666,223473,787830,655362,fused
flashdecoding,FlashDecoding,8,,32,8,128,8192,,408713,416241,1570766,1310722,fused
flashmla,FlashMLA,16,128,,,,,1024,80843,77683,24219,53987,2gemm
flashmla,FlashMLA,16,128,,,,,2048,148095,142465,48440,107386,2gemm
flashmla,FlashMLA,16,128,,,,,4096,284109,271489,96881,214184,2gemm
flashmla,FlashMLA,16,128,,,,,8192,554290,529537,193763,427780,2gemm
flashmla,FlashMLA,32,128,,,,,1024,82197,80224,48440,107974,2gemm
flashmla,FlashMLA,32,128,,,,,2048,150154,144736,96881,214773,2gemm
flashmla,FlashMLA,32,128,,,,,4096,285458,273760,193763,428367,2gemm
flashmla,FlashMLA,32,128,,,,,8192,555728,531808,387527,855558,2gemm
flashmla,FlashMLA,64,128,,,,,1024,87835,96456,96881,215947,2gemm
flashmla,FlashMLA,64,128,,,,,2048,155508,171517,193763,429542,2gemm
flashmla,FlashMLA,64,128,,,,,4096,289457,320959,387527,856733,2gemm
flashmla,FlashMLA,64,128,,,,,8192,557894,619827,775056,1711114,2gemm
